id,title,media_type,overview,release_date,vote_average,vote_count,streaming_providers,poster_url,genres,cast,crew
574475,Final Destination Bloodlines,movie,,2025-05-14,7.214,1077,Catchplay,https://image.tmdb.org/t/p/w500/bNn1WyEC8tXK2HucphV87MMLxNQ.jpg,"Kengerian, Misteri","[{""name"": ""Kaitlyn Santa Juana"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/75Tdc3wg9mklJHy5LEj8OMjcPw8.jpg""}, {""name"": ""Teo Briones"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/cyykbm4Xht2Pi7brr88FcmS1LPb.jpg""}, {""name"": ""Rya Kihlstedt"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/86ysgxNPkckt8jp715X79CdopB7.jpg""}, {""name"": ""Richard Harmon"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/OMc1TCt9GEJddnVI1o5BPIAoLV.jpg""}, {""name"": ""Owen Patrick Joyner"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/eTZiPEsHZmmgQKEhC8HDf28sFmY.jpg""}]","[{""job"": ""Director"", ""name"": ""Adam B. Stein"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/aobQq1YDiny8Fmr9Sk1sh8SqcRM.jpg""}, {""job"": ""Director"", ""name"": ""Zach Lipovsky"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/hdRnSPmRjYpAEGrpddwxnfqGdmQ.jpg""}, {""job"": ""Producer"", ""name"": ""Sheila Hanahan Taylor"", ""profile_url"": null}, {""job"": ""Producer"", ""name"": ""Jon Watts"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/fkXChMX6CUXY1yOxBehAzvaTCl7.jpg""}, {""job"": ""Producer"", ""name"": ""Dianne McGunigle"", ""profile_url"": null}, {""job"": ""Producer"", ""name"": ""Craig Perry"", ""profile_url"": null}, {""job"": ""Producer"", ""name"": ""Toby Emmerich"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/gXCYaYIwefc6q660TOWJbIDjHBQ.jpg""}]"
552524,Lilo & Stitch,movie,,2025-05-21,7.107,681,,https://image.tmdb.org/t/p/w500/c32TsWLES7kL1uy6fF03V67AIYX.jpg,"Keluarga, Cerita Fiksi, Komedi, Petualangan","[{""name"": ""Maia Kealoha"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/jqsKbBF28V2Oq5tKPR5USkNufwC.jpg""}, {""name"": ""Sydney Agudong"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/3K5hJ3meeClHWsPKetqd9qgyveJ.jpg""}, {""name"": ""Chris Sanders"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/6CtrIOCxggJ5eIAWeFQqd4Hs9FP.jpg""}, {""name"": ""Zach Galifianakis"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/qsDfoUlRnXHUiqZeBPWHzmgmKGX.jpg""}, {""name"": ""Billy Magnussen"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/ugyx7Wn2uAWsNlR5eX4yWFsGV2Y.jpg""}]","[{""job"": ""Director"", ""name"": ""Dean Fleischer Camp"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/oZTIL77jVfcz8iEQnYC892jvqY3.jpg""}, {""job"": ""Producer"", ""name"": ""Jonathan Eirich"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/aY7jRYOb2jMlctQkknh0vpSC79y.jpg""}, {""job"": ""Producer"", ""name"": ""Dan Lin"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/skXxQ2MZ2OYpP0aFyBoieFTT3iK.jpg""}]"
1087192,How to Train Your Dragon,movie,,2025-06-11,8.056,351,,https://image.tmdb.org/t/p/w500/q5pXRYTycaeW6dEgsCrd4mYPmxM.jpg,"Aksi, Keluarga, Fantasi","[{""name"": ""Mason Thames"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/2BLyvOUZbjsH83bdpFLqFkMY7pl.jpg""}, {""name"": ""Nico Parker"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/gt0NJClVSCPCEfcPgcLj3f85uLa.jpg""}, {""name"": ""Gerard Butler"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/n7sTgAGHyL3u9KIOVWjVLRA1fyi.jpg""}, {""name"": ""Nick Frost"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/2CHS4t6miNGLgMQAjhFqb4fFuKS.jpg""}, {""name"": ""Gabriel Howell"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/u3PTI9FlrpGFZVMoHXZZBiYWMCl.jpg""}]","[{""job"": ""Producer"", ""name"": ""Dean DeBlois"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/qdp7vc24XR836glg8mwHBEEZE6C.jpg""}, {""job"": ""Producer"", ""name"": ""Marc Platt"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/AdhoMikWWe1vjar68fuvekURno2.jpg""}, {""job"": ""Director"", ""name"": ""Dean DeBlois"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/qdp7vc24XR836glg8mwHBEEZE6C.jpg""}, {""job"": ""Producer"", ""name"": ""Adam Siegel"", ""profile_url"": null}, {""job"": ""Writer"", ""name"": ""Dean DeBlois"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/qdp7vc24XR836glg8mwHBEEZE6C.jpg""}]"
1426776,STRAW,movie,Apa pemicu terakhirnya? Satu hari yang sangat buruk membuat seorang ibu tunggal pekerja keras akhirnya merasa muak—dan melakukan tindakan putus asa yang mengejutkan.,2025-06-06,8.039,570,Netflix,https://image.tmdb.org/t/p/w500/t3cmnXYtxJb9vVL1ThvT2CWSe1n.jpg,"Cerita Seru, Drama, Kejahatan","[{""name"": ""Taraji P. Henson"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/jUU2X9mDwJaAniEmJOfvImBS9qb.jpg""}, {""name"": ""Sherri Shepherd"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/65YoJG1wCvumUfi38pRlMBx4Zhe.jpg""}, {""name"": ""Teyana Taylor"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/wVHbluUvjKl0NucSeuAhAJAr2oc.jpg""}, {""name"": ""Sinbad"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/gRGiBhtNCX6Oje76CmDMaIteW8d.jpg""}, {""name"": ""Rockmond Dunbar"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/gim7zIrYkbKWsp2Kod7fp74fWyI.jpg""}]","[{""job"": ""Director"", ""name"": ""Tyler Perry"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/8KU0OizemVLrERXt5HJIa0PAkIN.jpg""}, {""job"": ""Writer"", ""name"": ""Tyler Perry"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/8KU0OizemVLrERXt5HJIa0PAkIN.jpg""}, {""job"": ""Producer"", ""name"": ""Tony Strickland"", ""profile_url"": null}, {""job"": ""Producer"", ""name"": ""Angi Bones"", ""profile_url"": null}, {""job"": ""Producer"", ""name"": ""Tyler Perry"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/8KU0OizemVLrERXt5HJIa0PAkIN.jpg""}]"
1087891,The Amateur,movie,,2025-04-11,6.942,575,,https://image.tmdb.org/t/p/w500/SNEoUInCa5fAgwuEBMIMBGvkkh.jpg,"Cerita Seru, Aksi","[{""name"": ""Rami Malek"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/ewr46CGOdsx5NzAJdIzEBz2yIQh.jpg""}, {""name"": ""Holt McCallany"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/tnXVshv7CD9b53BRjYrLjVJvnDS.jpg""}, {""name"": ""Danny Sapani"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/h6goTpKA74Z6ePB2BAEEyQnGtCF.jpg""}, {""name"": ""Rachel Brosnahan"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/1f9NK43gWrXN2uMmYMlennB7jCC.jpg""}, {""name"": ""Michael Stuhlbarg"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/aYB3SQm3h6ZyAdlbGyiNfakjx56.jpg""}]","[{""job"": ""Director"", ""name"": ""James Hawes"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/9MmTr9DHvPPcAkRK0ddNxZs0gzS.jpg""}, {""job"": ""Producer"", ""name"": ""Hutch Parker"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/zbD6YCP2DahJEmpjUPWdExYWa79.jpg""}, {""job"": ""Producer"", ""name"": ""Dan Wilson"", ""profile_url"": null}, {""job"": ""Producer"", ""name"": ""Rami Malek"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/ewr46CGOdsx5NzAJdIzEBz2yIQh.jpg""}, {""job"": ""Producer"", ""name"": ""Joel B. Michaels"", ""profile_url"": null}]"
1442776,Kuang Bao Ju Xi,movie,,2024-03-27,6.0,1,,https://image.tmdb.org/t/p/w500/9TFaFsSXedaALXTzba349euDeoY.jpg,"Aksi, Cerita Seru, Kengerian",[],[]
1181039,鬼吹灯：献王虫谷,movie,,2023-09-22,6.5,4,,https://image.tmdb.org/t/p/w500/7Hk1qxAvZi9H9cfBb4iHkoGjapH.jpg,"Aksi, Petualangan, Kengerian","[{""name"": ""Luo Liqun"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/xNYMy4UGZakrvlgkdMM3HpqIb1p.jpg""}, {""name"": ""Zhang Weiwei"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/beXULMebpzIFmI8fzx18VHzVgNt.jpg""}, {""name"": ""Hu Xue'er"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/9D27s9IwHmN8hS6hliRBzOqwzhQ.jpg""}, {""name"": ""Scotty Cox"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/uEQwygUisxKmk3bggyBqhANOf7Z.jpg""}, {""name"": ""Song Jiateng"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/d2xlaPPUl07P5NOHUI5jTdH9X17.jpg""}]","[{""job"": ""Director"", ""name"": ""Dai Yilin"", ""profile_url"": null}, {""job"": ""Writer"", ""name"": ""Zhang Muye"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/p4wax2Ebyzg7ATuHmWSJIln4g3I.jpg""}]"
1240475,缉恶,movie,,2024-02-12,5.571,7,,https://image.tmdb.org/t/p/w500/m5UBHbEjQJx3AkRZWRY6A4l4ZDT.jpg,Aksi,"[{""name"": ""Xie Miao"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/8bwYSkseRMrwZxD9pS9mQlS0bDR.jpg""}, {""name"": ""Andy On"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/zbH0l4V3QJdvkLKPhBr5EB5JWnB.jpg""}, {""name"": ""Andrew Lin Hoi"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/nt1UAs1IY0WQlIeaHjbCfkY0XAR.jpg""}, {""name"": ""Hong Shuang"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/oBnSLS9gHhys53aY7ydh7pOqyjQ.jpg""}, {""name"": ""Gu Jing"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/8YlJvbrWEZnHsXnT2sT3cEKDEEp.jpg""}]","[{""job"": ""Director"", ""name"": ""Chris Huo"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/yIeQ8RisAZiGFPTU5gAE1uli44j.jpg""}, {""job"": ""Producer"", ""name"": ""Deng Xiao"", ""profile_url"": null}]"
1376434,Predator: Killer of Killers,movie,,2025-06-05,7.994,558,Hotstar,https://image.tmdb.org/t/p/w500/2XDQa6EmFHSA37j1t0w88vpWqj9.jpg,"Animasi, Aksi, Cerita Fiksi","[{""name"": ""Lindsay LaVanchy"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/izTspHKOpOAslVtlOsMv89o0rNe.jpg""}, {""name"": ""Louis Ozawa"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/hPND74J7MQFUFCMS1zsDO7LSWzC.jpg""}, {""name"": ""Rick Gonzalez"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/pVHDPq1a2oCZktgI3VumMRzGBd3.jpg""}, {""name"": ""Michael Biehn"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/9oFLsADWQm2TvU8XzLIzBbjdMkU.jpg""}, {""name"": ""Doug Cockle"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/sQGrr2Sjn5o9hrKvcFEnCyTuNw4.jpg""}]","[{""job"": ""Director"", ""name"": ""Dan Trachtenberg"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/crABZLMi5SAz7rKm0wV6JUOeKs5.jpg""}, {""job"": ""Producer"", ""name"": ""John Davis"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/kpXOBMUBZe8XpHYk7s0721kjjIk.jpg""}, {""job"": ""Producer"", ""name"": ""Dan Trachtenberg"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/crABZLMi5SAz7rKm0wV6JUOeKs5.jpg""}, {""job"": ""Producer"", ""name"": ""Marc Toberoff"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/tNgHmElWNYdstPhKqh6P78rDurZ.jpg""}, {""job"": ""Producer"", ""name"": ""Ben Rosenblatt"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/yc5U3itbAwdajnZ75poz5zvNvZW.jpg""}]"
1127110,Diablo,movie,,2025-06-13,7.0,35,,https://image.tmdb.org/t/p/w500/uFQduVyYIinJy3eLjozgfl6Xtcn.jpg,"Aksi, Cerita Seru","[{""name"": ""Scott Adkins"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/9NRr2a1riIn5CWn5McZLJlk4vxR.jpg""}, {""name"": ""Marko Zaror"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/rQ8XFdLmnfXs5x8FsttdOUrFLWa.jpg""}, {""name"": ""Alanna de la Rosa"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/p9nQfqFW8vollYkdCAW8uADj5Wa.jpg""}, {""name"": ""Diana Hoyos"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/fjyHzQHJb9O43vXagG4WVzzPtK7.jpg""}, {""name"": ""Lucho Velasco"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/spQR7Ru9lMheoQn4wNyAEWN30SD.jpg""}]","[{""job"": ""Director"", ""name"": ""Ernesto Díaz Espinoza"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/cKl78o9FX3alrymep8jYzFArEMj.jpg""}, {""job"": ""Producer"", ""name"": ""Craig Baumgarten"", ""profile_url"": null}, {""job"": ""Producer"", ""name"": ""Clay Epstein"", ""profile_url"": null}, {""job"": ""Producer"", ""name"": ""Scott Adkins"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/9NRr2a1riIn5CWn5McZLJlk4vxR.jpg""}, {""job"": ""Producer"", ""name"": ""Marko Zaror"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/rQ8XFdLmnfXs5x8FsttdOUrFLWa.jpg""}, {""job"": ""Producer"", ""name"": ""Jason Gurvitz"", ""profile_url"": null}, {""job"": ""Producer"", ""name"": ""Alvaro Gutierrez"", ""profile_url"": null}, {""job"": ""Writer"", ""name"": ""Mat Sansom"", ""profile_url"": null}]"
870028,The Accountant²,movie,,2025-04-25,7.194,886,Amazon Prime Video,https://image.tmdb.org/t/p/w500/slKdsugWzNfa8kkhkjTYymOx7OZ.jpg,"Misteri, Kejahatan, Cerita Seru","[{""name"": ""Ben Affleck"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/aTcqu8cI4wMohU17xTdqmXKTGrw.jpg""}, {""name"": ""Jon Bernthal"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/o0t6EVkJOrFAjESDilZUlf46IbQ.jpg""}, {""name"": ""Cynthia Addai-Robinson"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/zJDl2ltnPPbvGINtQ3Vzq8dzHPS.jpg""}, {""name"": ""J.K. Simmons"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/ScmKoJ9eiSUOthAt1PDNLi8Fkw.jpg""}, {""name"": ""Allison Robertson"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/77b8MAHwK2RXBO5fC4nNayqo1X2.jpg""}]","[{""job"": ""Director"", ""name"": ""Gavin O'Connor"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/zf3MHvbf2uKC4UbsuFHQYLz48g.jpg""}, {""job"": ""Producer"", ""name"": ""Lynette Howell Taylor"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/zntIGGn7Y5r6AKAOkBOljArSinf.jpg""}, {""job"": ""Producer"", ""name"": ""Ben Affleck"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/aTcqu8cI4wMohU17xTdqmXKTGrw.jpg""}, {""job"": ""Producer"", ""name"": ""Mark Williams"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/dmOeFb4qxG5TmDy1RW8CBzCCEOT.jpg""}, {""job"": ""Writer"", ""name"": ""Bill Dubuque"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/nPiWslnfdaWuiSlX1K8gpX5ogzh.jpg""}]"
1239193,Operasi Improvisasi,movie,"Film komedi aksi bertempo cepat yang dibintangi Bryce Dallas Howard sebagai Kat, seorang guru improvisasi komedi yang mempertanyakan apakah peluang suksesnya terlewatkan. Saat polisi yang menyamar menawarkan peluang sangat langka, Kat merekrut dua muridnya untuk menyusup ke dunia gangster London dengan samaran penjahat berbahaya.",2025-06-12,6.77,165,Amazon Prime Video,https://image.tmdb.org/t/p/w500/qZDjcqvgt3xWcAdc7wHpuqGZ3i.jpg,"Aksi, Komedi, Kejahatan","[{""name"": ""Bryce Dallas Howard"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/l9KTey4DqwazBkUgIEqfvMDCkaq.jpg""}, {""name"": ""Orlando Bloom"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/lwQoA0qJTCZ6l2FH6PjmhRQjiaB.jpg""}, {""name"": ""Nick Mohammed"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/2cFSHotCLLauzqq8iDKWK6meRAY.jpg""}, {""name"": ""Paddy Considine"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/96bZA8JRDjBgCE7ZHHgOMPmykc4.jpg""}, {""name"": ""Sonoya Mizuno"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/scbRPaGPw3VnR6mrmZQZi6Cuj1m.jpg""}]","[{""job"": ""Director"", ""name"": ""Tom Kingsley"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/tNh97HQjw71VaJJ3hD9Cuon73Om.jpg""}, {""job"": ""Writer"", ""name"": ""Alexander Owen"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/j44yQQOodRNvWONGYOxUQPBMDo8.jpg""}, {""job"": ""Producer"", ""name"": ""Laurie MacDonald"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/qmshY2CdaZKjl6s7K0fVWVFeO7p.jpg""}, {""job"": ""Writer"", ""name"": ""Ben Ashenden"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/qwE3vNi5PDIQIOeTcYzR0iVWj8g.jpg""}, {""job"": ""Writer"", ""name"": ""Derek Connolly"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/cMPp6V8Wh54kXAw5HrHlruxRWZu.jpg""}, {""job"": ""Writer"", ""name"": ""Colin Trevorrow"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/i0HBClPMPKn3aq8QeQqyThS67EK.jpg""}, {""job"": ""Producer"", ""name"": ""Colin Trevorrow"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/i0HBClPMPKn3aq8QeQqyThS67EK.jpg""}, {""job"": ""Producer"", ""name"": ""Walter F. Parkes"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/voOB5IhqOMvaweh44mfNnAYJBrq.jpg""}]"
1233413,Sinners,movie,,2025-04-16,7.5,1573,,https://image.tmdb.org/t/p/w500/yqsCU5XOP2mkbFamzAqbqntmfav.jpg,"Kengerian, Fantasi, Cerita Seru","[{""name"": ""Michael B. Jordan"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/hz9AOUWZ2zzS0dpPJ1yQv2grA35.jpg""}, {""name"": ""Hailee Steinfeld"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/tb7zwVSmI2CDLU1Tc39c4ECO3jm.jpg""}, {""name"": ""Miles Caton"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/yff2DK1Sc2baRGHbSfcmwMwX8HW.jpg""}, {""name"": ""Jack O'Connell"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/tCzR4clrIkbkijuJBYsNoEuwRDa.jpg""}, {""name"": ""Wunmi Mosaku"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/wy02B2JkNIgK1DCkie1A98jCY77.jpg""}]","[{""job"": ""Writer"", ""name"": ""Ryan Coogler"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/dux4DCDaL6c639DTXGiV7nm1wcN.jpg""}, {""job"": ""Director"", ""name"": ""Ryan Coogler"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/dux4DCDaL6c639DTXGiV7nm1wcN.jpg""}, {""job"": ""Producer"", ""name"": ""Zinzi Coogler"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/iRqdMOiuGy7vDJV5HcSW48jl8rr.jpg""}, {""job"": ""Producer"", ""name"": ""Sev Ohanian"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/m13MHdV7OgmfB19YwoYehHMMsJO.jpg""}, {""job"": ""Producer"", ""name"": ""Ryan Coogler"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/dux4DCDaL6c639DTXGiV7nm1wcN.jpg""}]"
1289601,Life After Fighting,movie,,2024-06-07,7.077,39,,https://image.tmdb.org/t/p/w500/uKWAk4BHzyEOMmLKUDXoIAPhH36.jpg,"Aksi, Drama, Cerita Seru","[{""name"": ""Bren Foster"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/qRCsPgki64JVreidPI6KAexZxpk.jpg""}, {""name"": ""Cassie Howarth"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/2ThTPRYJj0XBbC9aI0kn1mvBcm.jpg""}, {""name"": ""Luke Ford"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/u40f3Q26n44yUrfxN4ZKjm9WGUn.jpg""}, {""name"": ""Annabelle Stephenson"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/pWfWe7K95BoqLG5RLJCy4ZM83RZ.jpg""}, {""name"": ""Anthony Nassif"", ""profile_url"": null}]","[{""job"": ""Director"", ""name"": ""Bren Foster"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/qRCsPgki64JVreidPI6KAexZxpk.jpg""}, {""job"": ""Producer"", ""name"": ""Bren Foster"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/qRCsPgki64JVreidPI6KAexZxpk.jpg""}, {""job"": ""Producer"", ""name"": ""Chelsea Jean Foster"", ""profile_url"": null}, {""job"": ""Writer"", ""name"": ""Bren Foster"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/qRCsPgki64JVreidPI6KAexZxpk.jpg""}, {""job"": ""Producer"", ""name"": ""Navid Bahadori"", ""profile_url"": null}]"
1379587,Utopia,movie,,2024-12-09,5.447,38,,https://image.tmdb.org/t/p/w500/yef0tY1Nw3BX8PJTfBLieqHj5Hw.jpg,"Misteri, Cerita Seru, Aksi, Cerita Fiksi","[{""name"": ""Moe Dunford"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/tJ64S9CzXXuVQQo6jpxLool6okw.jpg""}, {""name"": ""Charlotte Vega"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/legWa5GpB82M3KunyFjXPopkSc7.jpg""}, {""name"": ""Michael D. Xavier"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/kfyljSkwsq6DYbtg9l8fGN52Y3q.jpg""}, {""name"": ""Daniel Bernhardt"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/b59qhg5VJOCypx9eMXrXHAjauLd.jpg""}, {""name"": ""Jason Flemyng"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/nYl0180ACnLzVlGbaAfuPtdGr9K.jpg""}]","[{""job"": ""Director"", ""name"": ""James Bamford"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/nINKWQ3ej0aYNsP1kmybVASObAE.jpg""}, {""job"": ""Writer"", ""name"": ""Ian Neligh"", ""profile_url"": null}, {""job"": ""Producer"", ""name"": ""Danail Hadzhiyski"", ""profile_url"": null}, {""job"": ""Producer"", ""name"": ""Vladimir Karanikolov"", ""profile_url"": null}, {""job"": ""Producer"", ""name"": ""Scott Karol"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/dZgFwxHZ7Mben5sPhUNraYUcalb.jpg""}, {""job"": ""Producer"", ""name"": ""Kyle Otto"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/tuxjplh7z8Vv1UGb89KzDoBx5fw.jpg""}, {""job"": ""Producer"", ""name"": ""Steven Paul"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/r3QqlY7B8sefjiCUAJhREuA5NJB.jpg""}, {""job"": ""Writer"", ""name"": ""Steven Paul"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/r3QqlY7B8sefjiCUAJhREuA5NJB.jpg""}]"
1100988,28 Years Later,movie,,2025-06-18,7.254,142,,https://image.tmdb.org/t/p/w500/361hRZoG91Nw6qXaIKuGoogQjix.jpg,"Kengerian, Cerita Seru, Cerita Fiksi","[{""name"": ""Alfie Williams"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/wqfyAhZH6uCu5J4THsz2gJxsizB.jpg""}, {""name"": ""Jodie Comer"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/iOP2tHyxtPiUzIBHzxxehBy9Khu.jpg""}, {""name"": ""Aaron Taylor-Johnson"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/pFtHhih2XEaFaD3qOFyQW6q83br.jpg""}, {""name"": ""Ralph Fiennes"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/u29BOqiV5GCQ8k8WUJM50i9xlBf.jpg""}, {""name"": ""Edvin Ryding"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/95mT0rw94k1MhrPRzdnEkokVXHQ.jpg""}]","[{""job"": ""Producer"", ""name"": ""Danny Boyle"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/b5qQpFHmgNyvV1t81ou17Jt2fRj.jpg""}, {""job"": ""Producer"", ""name"": ""Alex Garland"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/qSWzYnDw68xm4i5xprH9BwQ6q25.jpg""}, {""job"": ""Producer"", ""name"": ""Andrew Macdonald"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/j6C8BwvLK0R0rxYZI8sCU8KPkrd.jpg""}, {""job"": ""Producer"", ""name"": ""Peter Rice"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/eSsmBBf59xWmn1oAKfXtf3F1vz6.jpg""}, {""job"": ""Director"", ""name"": ""Danny Boyle"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/b5qQpFHmgNyvV1t81ou17Jt2fRj.jpg""}, {""job"": ""Writer"", ""name"": ""Alex Garland"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/qSWzYnDw68xm4i5xprH9BwQ6q25.jpg""}, {""job"": ""Producer"", ""name"": ""Bernard Bellew"", ""profile_url"": null}, {""job"": ""Writer"", ""name"": ""Danny Boyle"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/b5qQpFHmgNyvV1t81ou17Jt2fRj.jpg""}]"
